MCAT_ID,MCAT_Name,Alt_Name,Subcat_ID,Stopword,Attribute
13,Pneumatic Stapler,pneumatic stapler,432,tools pneumatic hydraulic  pneumatic air hydraulic gun spray,stapler
13,Pneumatic Stapler,pneumatic stapler,432,tools pneumatic hydraulic  pneumatic air hydraulic gun spray,stapler
13,Pneumatic Stapler,pneumatic stapler,432,tools pneumatic hydraulic  pneumatic air hydraulic gun spray,stapler
23,Microphones,microphones,761,headphone microphone headset earphone bluetooth,microphones
23,Microphones,microphones,761,headphone microphone headset earphone bluetooth,microphones
23,Microphones,microphones,761,headphone microphone headset earphone bluetooth,microphones
23,Microphones,microphones,761,headphone microphone headset earphone bluetooth,microphones
24,Alternator,alternator,87,generator  generator diesel alternator turbine power,
62,Pillow Covers,pillow covers,609,cushions  cushion pillow cover pillows cushions,covers
62,Pillow Covers,pillow covers,609,cushions  cushion pillow cover pillows cushions,covers
63,Quilts,quilts,611,blankets  blanket blankets quilt quilts baby,
68,Hot Water Boilers,hot water boilers,69,boiler  boiler boilers steam fired tube,hot water
72,Bone Jewelry,bone jewelry,136,jewelry hair ornaments fancy  pendant jewelry ring fashion jewellery,bone
72,Bone Jewelry,bone jewelry,136,jewelry hair ornaments fancy  pendant jewelry ring fashion jewellery,bone
76,Brooms,brooms,830,brushes mop brush cleaning broom,brooms
76,Brooms,brooms,830,brushes mop brush cleaning broom,brooms
92,Cabinet Locks,cabinet locks,812,fittings door  door hinges brass bolt hinge,cabinet locks
92,Cabinet Locks,cabinet locks,812,fittings door  door hinges brass bolt hinge,cabinet locks
92,Cabinet Locks,cabinet locks,812,fittings door  door hinges brass bolt hinge,cabinet locks
102,Hand Tufted Carpets,hand tufted carpets,52,rugs carpets  carpet rug carpets rugs cotton,hand tufted
103,Jute Carpets,jute carpets,52,rugs carpets  carpet rug carpets rugs cotton,jute
105,Silk Carpets,silk carpets,52,rugs carpets  carpet rug carpets rugs cotton,silk
115,Cattle Feed,cattle feed,13,feed food pet cake poultry,cattle
128,Alarm Clocks,alarm clocks,248,decorative clock  clock watches watch wall wrist,alarm clocks
129,Table Clock,table clock,248,decorative clock  clock watches watch wall wrist,table
129,Table Clock,table clock,248,decorative clock  clock watches watch wall wrist,table
147,Concrete Mixers,concrete mixers,151,equipment machine construction bending  machine concrete making plant block,mixers
156,Pulleys,pulleys,589,crane  crane cranes pulley hoist hoists,pulleys
162,Cooling Towers,cooling towers,72,exchangers heat  heat cooling exchanger tower exchangers,towers
162,Cooling Towers,cooling towers,72,exchangers heat  heat cooling exchanger tower exchangers,towers
164,FRP Cooling Towers,frp cooling towers,72,exchangers heat  heat cooling exchanger tower exchangers,frp towers
164,FRP Cooling Towers,frp cooling towers,72,exchangers heat  heat cooling exchanger tower exchangers,frp towers
164,FRP Cooling Towers,frp cooling towers,72,exchangers heat  heat cooling exchanger tower exchangers,frp towers
177,LPG Cylinders,lpg cylinders,254,gas cylinder lpg cylinders regulator,
177,LPG Cylinders,lpg cylinders,254,gas cylinder lpg cylinders regulator,
